# compare batch (seat=east, start=1000, count=50)
seed,seat,normal_top,hard_top,agree,hard_scanned,hard_elapsed_ms
1000, East, 6C, 6C, true, 2, 0
1001, East, 5C, 5C, true, 2, 0
1002, East, 5C, 5C, true, 3, 1
1003, East, 2C, 2C, true, 1, 0
1004, East, 2C, 2C, true, 1, 0
1005, East, 3C, 3C, true, 4, 0
1006, East, 3C, 3C, true, 5, 0
1007, East, 5C, 5C, true, 3, 0
1008, East, 4C, 4C, true, 3, 0
1009, East, 4C, 4C, true, 4, 0
1010, East, 5C, 5C, true, 4, 1
1011, East, 2C, 2C, true, 1, 0
1012, East, 2C, 2C, true, 1, 0
1013, East, 5C, 5C, true, 4, 1
1014, East, 8C, 8C, true, 1, 0
1015, East, JC, JC, true, 3, 1
1016, East, 3C, 3C, true, 5, 1
1017, East, 6C, 6C, true, 4, 1
1018, East, 4C, 4C, true, 5, 0
1019, East, 7C, 7C, true, 5, 2
1020, East, 5C, 5C, true, 2, 0
1021, East, QC, QC, true, 1, 0
1022, East, 7C, 7C, true, 2, 0
1023, East, 6C, 6C, true, 1, 0
1024, East, 3C, 3C, true, 4, 0
1025, East, 2C, 2C, true, 1, 0
1026, East, 5C, 5C, true, 6, 2
1027, East, 2C, 2C, true, 1, 0
1028, East, 3C, 3C, true, 4, 0
1029, East, 4C, 4C, true, 2, 0
1030, East, 7C, 7C, true, 4, 1
1031, East, 3C, 3C, true, 5, 1
1032, East, 8C, 8C, true, 2, 0
1033, East, 2C, 2C, true, 1, 0
1034, East, 2C, 2C, true, 1, 0
1035, East, 8C, 8C, true, 3, 1
1036, East, 2C, 2C, true, 1, 0
1037, East, 5C, 5C, true, 2, 0
1038, East, 6C, 6C, true, 4, 1
1039, East, 6C, 6C, true, 2, 0
1040, East, 3C, 3C, true, 4, 0
1041, East, JC, JC, true, 1, 0
1042, East, 2C, 2C, true, 1, 0
1043, East, 3C, 3C, true, 5, 1
1044, East, 2C, 2C, true, 1, 0
1045, East, 8C, 8C, true, 3, 0
1046, East, JC, JC, true, 3, 1
1047, East, 2C, 2C, true, 1, 0
1048, East, 7C, 7C, true, 4, 0
1049, East, 7C, 7C, true, 2, 0
