# compare batch (seat=south, start=1000, count=50)
seed,seat,normal_top,hard_top,agree,hard_scanned,hard_elapsed_ms
1000, South, 3C, 3C, true, 3, 0
1001, South, 4C, 4C, true, 5, 1
1002, South, 3C, 3C, true, 2, 0
1003, South, JC, JC, true, 1, 0
1004, South, 9C, 9C, true, 3, 1
1005, South, KC, KC, true, 2, 0
1006, South, 2C, 2C, true, 1, 0
1007, South, 6C, 6C, true, 3, 0
1008, South, 2C, 2C, true, 1, 0
1009, South, 7C, 7C, true, 5, 0
1010, South, 2C, 2C, true, 1, 0
1011, South, 5C, 5C, true, 4, 1
1012, South, 4C, 4C, true, 5, 1
1013, South, 4C, 4C, true, 5, 1
1014, South, 9C, 9C, true, 2, 0
1015, South, 3D, 3D, true, 6, 0
1016, South, 5C, 5C, true, 3, 1
1017, South, 3C, 3C, true, 5, 1
1018, South, 8C, 8C, true, 2, 0
1019, South, 4C, 4C, true, 3, 0
1020, South, 6C, 6C, true, 2, 0
1021, South, 3C, 3C, true, 5, 0
1022, South, 3C, 3C, true, 5, 0
1023, South, 3C, 3C, true, 3, 0
1024, South, 4C, 4C, true, 2, 0
1025, South, JC, JC, true, 3, 1
1026, South, 2C, 2C, true, 1, 0
1027, South, 6C, 6C, true, 1, 0
1028, South, 2C, 2C, true, 1, 0
1029, South, 2C, 2C, true, 1, 0
1030, South, 9C, 9C, true, 2, 0
1031, South, 2C, 2C, true, 1, 0
1032, South, 4C, 4C, true, 2, 0
1033, South, 10C, 10C, true, 3, 1
1034, South, 5C, 5C, true, 3, 0
1035, South, 3C, 3C, true, 3, 0
1036, South, 5C, 5C, true, 3, 0
1037, South, 3C, 3C, true, 4, 1
1038, South, 6S, 6S, true, 5, 0
1039, South, 2C, 2C, true, 1, 0
1040, South, 5C, 5C, true, 5, 2
1041, South, 4C, 4C, true, 3, 0
1042, South, 6C, 6C, true, 3, 1
1043, South, 2C, 2C, true, 1, 0
1044, South, 3C, 3C, true, 2, 0
1045, South, 2C, 2C, true, 1, 0
1046, South, 5C, 5C, true, 3, 0
1047, South, 4C, 4C, true, 3, 0
1048, South, 2C, 2C, true, 1, 0
1049, South, 2C, 2C, true, 1, 0
