# compare batch (seat=west, start=1000, count=50)
seed,seat,normal_top,hard_top,agree,hard_scanned,hard_elapsed_ms
1000, West, 4C, 4C, true, 4, 1
1001, West, 2C, 2C, true, 1, 0
1002, West, 4C, 4C, true, 5, 1
1003, West, 5C, 5C, true, 2, 0
1004, West, 5C, 5C, true, 5, 1
1005, West, 8C, 8C, true, 2, 0
1006, West, QC, QC, true, 2, 0
1007, West, 2C, 2C, true, 1, 0
1008, West, 3C, 3C, true, 4, 1
1009, West, 2C, 2C, true, 1, 0
1010, West, 4C, 4C, true, 5, 1
1011, West, 4C, 4C, true, 4, 1
1012, West, 5C, 5C, true, 1, 0
1013, West, 2C, 2C, true, 1, 0
1014, West, 2C, 2C, true, 1, 0
1015, West, 2C, 2C, true, 1, 0
1016, West, 4C, 4C, true, 3, 0
1017, West, 2C, 2C, true, 1, 0
1018, West, 2C, 2C, true, 1, 0
1019, West, 3C, 3C, true, 4, 0
1020, West, 2C, 2C, true, 1, 0
1021, West, 6C, 6C, true, 4, 0
1022, West, 2C, 2C, true, 1, 0
1023, West, 2C, 2C, true, 1, 0
1024, West, 2C, 2C, true, 1, 0
1025, West, 3C, 3C, true, 1, 0
1026, West, 4C, 4C, true, 3, 0
1027, West, 5C, 5C, true, 3, 0
1028, West, 4C, 4C, true, 1, 0
1029, West, 6C, 6C, true, 5, 1
1030, West, 2C, 2C, true, 1, 0
1031, West, 4C, 4C, true, 4, 0
1032, West, 2C, 2C, true, 1, 0
1033, West, 3C, 3C, true, 3, 0
1034, West, AC, AC, true, 1, 0
1035, West, 2C, 2C, true, 1, 0
1036, West, 4C, 4C, true, 4, 0
1037, West, 6C, 6C, true, 5, 2
1038, West, 4C, 4C, true, 5, 1
1039, West, 4C, 4C, true, 4, 1
1040, West, 10S, 2S, false, 6, 0
1041, West, 2C, 2C, true, 1, 0
1042, West, 4C, 4C, true, 4, 0
1043, West, 10C, 10C, true, 1, 0
1044, West, 9C, 9C, true, 1, 0
1045, West, 9C, 9C, true, 3, 1
1046, West, 2C, 2C, true, 1, 0
1047, West, 3C, 3C, true, 5, 0
1048, West, 3C, 3C, true, 6, 1
1049, West, 5C, 5C, true, 2, 0
